Year,Month,Region,Region_UNSD,Location,Coordinates,Cause,Route,Source,Quality,Dead,Missing,Total,Females,Males,Children,Survivors
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.650259, -110.366453",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,1,0,0
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.59713, -111.73756",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.94026, -113.01125",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,January,North America,Northern America,"near Douglas, Arizona, USA","31.506777, -109.315632",Violence,US-Mexico border crossing,"Ministry of Foreign Affairs Mexico, Pima County Office of the Medical Examiner (PCOME)",5,1,0,1,0,1,0,0
2014,January,Europe,Northern Europe,Border between Russia and Estonia,"59.1551, 28","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,EUBusiness (Agence France-Presse),1,1,0,1,0,1,0,2
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.45435, -113.18402",Violence,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,January,Mediterranean,Uncategorized,Waters near Greece while being towed back to Turkey,"37.2832, 27",Drowning,Eastern Mediterranean,European Council on Refugees and Exiles,5,12,0,12,9,0,3,0
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.478317, -113.182833",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","31.81154, -111.01101",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
2014,January,North America,Northern America,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.174017, -112.174583",Mixed or unknown,US-Mexico border crossing,Pima County Office of the Medical Examiner (PCOME),5,1,0,1,0,0,0,0
